,name,category_1,category_2,origin,description
279,Pranz Roston Vineyard Chardonnay 2001, White Wine , Chardonnay ,"  from Napa Valley, California "," A sweet and juicy Chardonnay with a creamy texture and a creamy, toasty finish. It has a light caramel, apple and pear nose and a spicy, nutty finish.Wine Spectator "
280,Matas-Giulten Le-Pinas Premier Cru Rouge 2014, Red Wine , Other Red Blends ,  from Spain ," Blend: 50% Grenache, 40% Syrah, 10% Mourvèdre Pairs well with pasta, pizza, pork, grilled steak and lamb chops.. This is a classically styled wine that is ready for immediate consumption but has the stuffing for laying down. "
281,Domaiseu de los Aikerva Tortanien Zinfandel 2009, Red Wine , Zinfandel ,  from Spain ," It is a dark garnet-colored wine with an intense, concentrated nose of spice, ripe black fruits, and a hint of pepper. It has a full, lush, rich attack, with explosive fruit and spice. It has a long finish, with great balance and finesse."
282,Campile Chardonnay Edebino 2005, White Wine , Chardonnay ,"  from Central Coast, California "," The grapes are hand-harvested and sorted. We take advantage of the complexity that comes from such a hot climate region as Edebino. The grapes are gently pressed and the juice is left to settle in stainless steel tanks. Fermentation takes place at controlled temperatures in stainless steel tanks. The wine is then aged for two years in French oak barrels. A soft, creamy texture with tropical overtones. Bright fruit flavors of pineapple and lemon with a hint of vanilla and toasty oak. "
283,Lee  abernat Sauvignon Blend 1991, White Wine , Sauvignon Blanc ,  from California ," Leeuwin Vineyards, situated in the northernmost region of the Napa Valley, has been owned by the Leeuwin family since 1896. In addition to his estate in Rutherford, Leeuwin has been owned by the family of winegrowers who have been producing world-class wines since 1963. Since 1992, Leeuwin has been owned by the Leeuwin family and winemakers for more than 25 years. "
284,Norade Brog Criana, Red Wine , Other Red Blends ,  from Spain ," Criana is a blend of 50% Tempranillo, 40% Garnacha, 10% Syrah and 10% Petit Verdot. It is a beautiful ruby-red color. On the nose, there are aromas of fresh blackberries, plums, and licorice. The mouth is full and warm, with loads of ripe fruit and spice. Flavors of plums, blackberries and blueberries are accompanied by notes of toasty oak and spice. This is a full-bodied, rounded wine with a long finish. "
285,Granghee 2002, White Wine , Other White Blends ,"  from Napa Valley, California "," This wine has the signature Chardonnay flavor and balance that has made it a favorite of many fans of this wine in the Napa Valley. This is a crisp, fruity wine with a lightly mineral edge that makes it the perfect accompaniment to a wide range of foods. A unique blend of grapes from the cooler Napa Valley to the warmer Napa Valley, Granghee has the complexity of fruit that comes from the cooler Napa Valley. The wine is fermented in stainless steel tanks and aged in stainless steel tanks to preserve the crisp character and texture. A lightly-oaked wine with a delightfully bright and fruity finish. "
286,Steger Macinap Cuvene Cabernet Sauvignon 2005, Red Wine , Cabernet Sauvignon ,  from Chile ," Deep, intense and purple color. On the nose, there are layers of concentrated black fruits, including blackcurrant, black cherry and cassis. In the mouth, it is full-bodied, with lots of volume, well-balanced with a long finish. Very elegant and refined Cabernet Sauvignon, with pure varietal character. "
287,Baranas Ve Montebine 1097, Red Wine , Other Red Blends ,  from Spain ," Blend: 60% Monastrell, 20% Syrah, 10% Cabernet Sauvignon Sweet, deep, intense and aromatic, with a complex range of berry, dark chocolate and spice. On the palate, it is full-bodied, with soft tannins and a long, complex finish. Very appealing. Enjoy with grilled meats, roasts, pasta and cheese. A great match for game birds or venison. "
288,La Nerch Noll Pinot Noir 2015, Red Wine , Pinot Noir ,"  from Willamette Valley, Oregon "," This wine has a deep garnet color. The nose is complex with aromas of dark cherry, berry, cedar, and spice. The palate is rich, round and supple with flavors of dark cherry, blueberry, and sweet spice. This wine is balanced with good acidity and tannin, providing a lengthy finish. "
289,Treenons Aldramano Riserva Conterier 2000, Red Wine , Other Red Blends ,  from Australia ," The deep red color of this wine heralds the intense aromas of sweet, ripe berry fruit with hints of spicy oak. The palate is full and soft with excellent balance between fruit, oak and tannin. This is a wine to savor on its own, but would be a superb accompaniment to game, veal and other red meats. "
290,Pribignate 2017, Red Wine , Other Red Blends ,"  from Paso Robles, Central Coast, California "," The 2017 Petite Sirah is a dark garnet wine with aromas of black cherry, currant, and a hint of mocha. Flavors of blueberry, black cherry, and cassis are accented with spice and a touch of pepper. Medium bodied with soft tannins and balanced acidity, this wine has a long, smooth finish."
291,Dolamina Carnarca Cuvee Bragne Saevignon Blanc 2017, White Wine , Other White Blends ,"  from Corsica, France "," Cuvee Bragne is the name of a single cuvée in the Dolamina family. This wine, the first in the estate, is a blend of the three native white varieties in the region: Vermentino, Viognier and Riesling. It is a delicious wine to drink as an aperitif and a great companion for appetizers."
292,RVoen Estate Surostille Yuerras Pinot Noir 2011, Red Wine , Pinot Noir ,"  from Coombsville, Napa Valley, California "," The wine has a deep garnet color and an expressive nose of wild blackberries, cranberries, and cherry cola. The palate is long and supple with flavors of dark berry and spice. The wine finishes with great balance and structure. "
293,Vinger Galle Vineyards Ginge Reserva Cabernet Sauvignon 1999, Red Wine , Cabernet Sauvignon ,"  from Napa Valley, California "," The wine shows its potential, but we believe this vintage has no future ahead of it. The intense nose of black cherries, black currants, licorice and spice is complemented by an earthy edge. On the palate the wine is rich and elegant, with a round, full-bodied core of cherry, berry and cassis fruit, and toasty oak and vanilla. The finish is long and smooth, with an elegant balance of tannins and crisp acidity. "
294,Berrofbey Cranamily Nape Blund 2014, White Wine , Other White Blends ,  from California ," The 2016 vintage is an aromatic white wine with a fresh, fruity nose. The palate is nicely-balanced, dry and refreshing, with a delicious crisp acidity and a smooth finish.  Ceretto Arneis, the Godfather of Wine, is here! The blend of Trebbiano, Pecorino and a touch of Malvasia dei Vigna, the Godfather of Wine, is here! The label above the wine has a pic of a backdrop of a guyot with a stylistic hand. It is the image of a Nicolas' God, who predominating the winery. "
295,Groborg Reserva Zinet Noir 2012, Red Wine , Other Red Blends ,  from Spain ," This is a wine of great character and finesse. It is deep cherry-red in color with aromas of ripe blackberries and redcurrants. It is well-structured with smooth tannins and a long finish. It is a wine that can be enjoyed by itself, but can be also used with a wide range of foods: from pasta or risotto to meat dishes, and even pizza. "
296,Cleiver Abley Latecti Pinot Grid 2015, Red Wine , Pinot Gris/Grigio ,"  from Dundee Hills, Willamette Valley, Oregon "," Pairs well with foods such as smoked salmon or tuna. It also pairs well with smoked chicken and pork, as well as beef or game. RH Phillips EXP Syrah-based Pinot Gris 2014 [response] [category_1] White Wine. Best when chilled with a bit of air, the wine will delight the senses. The wine is deep, rich, and ripe with aromas of tropical fruit, orange peel, and tropical notes. The finish is long, with notes of honey, apricot and a hint of minerality. This wine is an excellent match with grilled salmon, seafood, pasta, risotto, duck, and cheese. "
297,Kester Botre Red Roado 2016, Red Wine , Other Red Blends ,"  from Napa Valley, California "," The 2016 Red Roado has a deep purple hue in the glass. This wine has aromas of plum, cherry, and blackberry with subtle hints of cedar. Flavors of black cherry, dark chocolate, and spice. The wine has a silky mouthfeel and is framed by refined tannins and a bright acidity. This is a full-bodied wine with a long finish. "
298,Pianto 1988, Red Wine , Other Red Blends ,"  from Tuscany, Italy "," This wine is deep ruby in color, leaning towards garnet.  It has a complex bouquet of spice and fruit.  On the palate it is dry, full-bodied, and velvety, with excellent structure.   This is a wine suited to all occasions. "
299,Bonnquita Bouzianu 1998, Red Wine , Other Red Blends ,"  from Tuscany, Italy "," The bouquet of this wine is filled with scents of violets, cherries, and currants, with subtle hints of pepper and spice. The palate is dry, warm, and full-bodied, with perfect fruit flavors and soft tannins. A delicious match with pastas with tomato sauce, or with mature cheeses such as Parmigiano Reggiano, Pecorino, or Pecorino. "
300,Rapalas des Pinas 2004, Red Wine , Other Red Blends ,"  from Ribera del Duero, Spain "," The name of the wine comes from the Latin bovale, which refers to the fact that the varietals used to produce the wine are Vernaccia, Tempranillo and Cabernet Sauvignon. "
301,Rado Martino La Felicqued Classione Gran Spenig Jamalnino 2017, Red Wine , Other Red Blends ,  from Spain ," Deep, intense violet color. On the nose, it shows aromas of dark fruit, spices and balsamic notes. The palate is smooth, with soft tannins and a medium structure. The finish is long, with notes of fruit and spices."
302,Tnha Unrwero Cabernet Sauvignon (375ML half-bottle) 2014, Red Wine , Cabernet Sauvignon ,"  from Mendoza, Argentina "," The color is deep and deep purple. On the nose, there are aromas of wild berries, black cherry, cassis and spices. The palate is smooth with soft tannins, and flavors of cassis, berries, plums, and a hint of chocolate. A very balanced wine with a long finish. "
303,Mognaildp Edo Napa Valley Zinandel 2014, Red Wine , Zinfandel ,"  from Napa Valley, California "," The Edo Napa Valley Zin is a delicious red wine blend of Zin from our finest Napa Valley vineyards. Deep red color, ripe black cherry and raspberry fruit flavors with a rich mouthfeel. The sweet, spicy, jammy aromas are accented by vanilla and cinnamon. On the palate, this wine is bursting with jammy, black cherry and a hint of spice. This wine is rich and layered with smooth, silky tannins."
304,erramet Holdnes Estate Russion Vineyard Chardonnay 2000, White Wine , Chardonnay ,"  from Napa Valley, California "," The delicate fruit of this wine makes it the perfect complement to the finest fish, and it is excellent with Asian, Mediterranean and other richly sauced dishes.  Terrunyo Sauvignon Blanc 2001 [response] [category_1] White Wine [category_2] White Wine [category_2] Sauvignon Blanc [origin]  from Chile "
305,Lra Grist Bit Vineyards Caberet Sauvignon 2004, Red Wine , Cabernet Sauvignon ,"  from Napa Valley, California "," The wine is characterized by its deep garnet color. The nose is intense, ripe black fruit flavors with an exotic hint of violets and toasted oak. The mouth is full and smooth with an added touch of soft tannin, while the finish is long and concentrated. This is a full bodied wine that is enjoyable on release, but will continue to improve with bottle aging. Enjoy with grilled beef, game or poultry. "
306,Grogelal Shardonne Cabernet Sauvignon 2012, White Wine , Cabernet Sauvignon ,"  from Languedoc, South of France, France "," The color of this wine is light yellow with green hues. The bouquet is intense, complex, with tropical fruits (pineapple, banana, lemon), as well as some floral notes (lime blossom) and a hint of vanilla. The wine is dry, full-bodied and rich on the palate with a long finish. "
307,Re Brosnerson Vineyardi Vineyards Zinfandel 2018, Red Wine , Zinfandel ,"  from Lodi, California "," The nose of this Zinfandel is filled with scents of ripe cherry, spice, and toasted oak. Flavors of blackberry pie, pomegranate, and currants mingle on the palate and are supported by soft tannins and balanced acidity. It is a luscious, mouth filling wine with a smooth finish."
308,Brobo de Landy Cabernet Sauvignon 2014, Red Wine , Cabernet Sauvignon ,"  from Paso Robles, Central Coast, California "," This is the second release of the 2014 Brobo de Landy Cabernet Sauvignon. The wine is a dark purple color. Aromas of black cherry, dried herbs, cassis, dried herbs, and black pepper spice. Rich, balanced and well-structured with flavors of blackberry, cassis, and cocoa nibs. This wine is full-bodied and has a long finish with fine tannins.  "
309,Argiana Cabernet Sauvignon 2002, Red Wine , Cabernet Sauvignon ,"  from Tuscany, Italy "," Intensely fruity, full-bodied and complex on the nose, rich, spicy and complex on the palate. Firm but velvety tannins. A long finish. A great wine to roast meats and cheeses. "
310,Sagal 2 Ballorelord Pinot Noir 2013, Red Wine , Pinot Noir ,"  from Willamette Valley, Oregon "," The color is deep, dark ruby.  On the nose, aromas of blackberry, cherry, licorice, spice and sandalwood.   The palate is ripe and concentrated, with flavors of blackberry pie, bramble, and hints of spice.  The tannins are firm and the wine has good weight, yet balanced with a lingering finish. "
311,Tinrey St. Eoghine Zinfandel 1999, Red Wine , Zinfandel ,  from California ," The 1999 Zinfandel is a rich, full bodied wine with a spicy, strawberry aroma.  It is very elegant and supple in the mouth with a beautiful balance between fruit and structure.  This wine was produced from grapes grown in the northern most part of the Napa Valley.  It has a deep garnet color.  Aromas of berries, cherries, and spice.  Flavors of berries, cherries, spice, and herbs.  Medium bodied, with a long finish.  This is a big wine but can be enjoyed by itself as an aperitif or with any meal. "
312,Ca Bato, Sparkling & Champagne , Non-Vintage Sparkling Wine ,  from Spain ," The Ca Bato red is a light and clean wine. It has a lively color with light violet hints. It has a high-intensity berry-fruit nose with a high amount of finesse. It also has a high-quality structure, high acidity and a high-alcohol level. This balance is ideal for producing high quality, high-quality Spanish sparkling wines. "
313,Reman Reselenca 494 Cranashy Scheriolbera 2012, Red Wine , Other Red Blends ,  from Spain ," The grapes from the Reserva 484 come from younger vines (6-20 years) planted in sandy soils with a high limestone content, which, with a high proportion of clay, is ideal for growing high quality, concentrated and powerful red wines."
314,Loye Seneopena Reserve Chardonnay 2009, White Wine , Chardonnay ,"  from Russian River, Sonoma County, California "," The Sèopena Reserve Chardonnay has aromas of lemon peel, butterscotch, and roasted chestnut. Flavors of white peach, nectarine and crème brûlée with hints of vanilla, caramel, and toasted brioche.  "
315,Guquica Syrah Alan Daria Nedita Reder Pionlo 2002, Red Wine , Syrah/Shiraz ,  from Chile ," The color of the wine is deep purple with violet tones. The nose is spicy and fruity. On the palate, the wine has a soft tannic structure with an acidity level of perfect balance. The final is spicy and fruity.  "
316,Breen Sigery Cabernet Sauvignon 1999, Red Wine , Cabernet Sauvignon ,  from Australia ," The Breen Vintage Ports are always a pleasure to drink. Very fruity, full-bodied, very complex, with a long aftertaste. A blend of some of the best regions in the Cabernet region. A deep purple/black color. On the nose, concentrated aromas of blackcurrant, cassis, blackberry, and smoky oak. The palate is full and soft, with excellent balance and very good structure. Enjoy this wine with grilled meats, hearty pastas, and richly flavored cheeses. "
317,Yalinarza Anda Velte Buncia 2014, Red Wine , Other Red Blends ,"  from Tuscany, Italy "," Deep, dark ruby red color. On the nose, the wine shows its complex and intense bouquet, with notes of ripe blackberries, cherries, and sweet spices. The wine has a velvety feel on the palate, with soft tannins, and a long finish."
318,Garnari Tam' Jelo Moscato d'Apila Borgano 2016, White Wine , Muscat ,"  from Asti, Piedmont, Italy "," The grapes are harvested at optimal ripeness and then immediately placed in the sweets. The grapes are then cooled in steel tanks to prevent bruising. After the grapes are harvested, they are delicately pressed in traditional basket presses. The juice then spends time in steel tanks to develop its full potential, while retaining its natural Co2 content."
319,d'Arelion Chardonnay 2013, White Wine , Chardonnay ,  from France ," The Arelion Chardonnay is a bright golden color. On the nose, notes of white flowers and citrus fruit. The palate is well balanced, with flavors of pineapple and green apple and a delicate minerality. This wine has a rich texture, with a long finish. A great pairing with seafood and white meat. "
320,Celerbot Soumi Carnare Romallina 2002, Red Wine , Other Red Blends ,"  from Tuscany, Italy "," Bright red color. The nose is fruity, fresh, and floral. On the palate the wine is dry, but fruity and mineral. It has a good structure, tannin, and acidity."
321,J. Lorenseact 201 Sauvignon Bllanc 2016, White Wine , Sauvignon Blanc ,"  from Lake County, North Coast, California "," The color of this wine is light yellow with a slight greenish edge. The aromas are reminiscent of fresh-cut grass, yellow apples, lemon peel, and a hint of minerality. The flavors are also citrus, mandarin, and mandarin oranges. The wine has a crisp, refreshing finish. "
322,Yarnady Duant Pinot Noir 2014, Red Wine , Pinot Noir ,"  from Yarra Valley, Victoria, Australia "," Vibrant garnet in color, this wine has aromas of cherries, berry, earth and savoury French oak. The palate is rich, complex and textured with dark berry fruit and savoury French oak. This wine has a fine tannin structure, which will support additional complexity with cellaring. "
323,Duvaista yervro Reserva Chardonnay (1.5L) 1998, White Wine , Chardonnay ,  from California ," The wine is bright gold in color. Intense varietal character with layers of rich tropical fruit flavors. Intense and full-bodied, the wine has a lovely creamy texture and a long finish. This wine pairs well with seafood, poultry, white meats and cheeses. "
324,Novilt Bermane Mountain Pinot Niiner 2000, Red Wine , Pinot Noir ,"  from Willamette Valley, Oregon "," This wine shows a deep black cherry nose with a touch of earthiness and a dash of pepper. In the mouth it is silky and complex, with a well balanced finish. This wine will age nicely over the next 4 to 5 years. "
325,Lousso Family Cellars Sauvignon Blanco Estate Pinat Noir 2015, White Wine , Pinot Noir ,"  from Santa Barbara, Central Coast, California ", The 2015 Sauvignon Blanc has a light straw color. The nose is filled with bright citrus and fresh cut grass. The palate is filled with notes of grapefruit and lime. The finish is long and clean with a clean bright finish. The wine is a great match with a wide range of foods from grilled fish to chicken. It also pairs well with spicy Asian cuisine. 
326,Lancenato Rerfel Welhorake Syrah 2003, Red Wine , Syrah/Shiraz ,  from Italy ," Deep garnet red with shades of violet. Intense and elegant, with a delicate hint of violets. Full-bodied and harmonious with soft tannins, it shows an excellent structure and a long finish."
327,Gricke Wintantes Mobacholba Cabernet Sauvignon 1995, Red Wine , Cabernet Sauvignon ,"  from Napa Valley, California ",". Deep, dark red with a garnet core. Vivid aromas of boysenberry, dark chocolate and savoury oak complement undertones of blackcurrant, anise and cigar box. The wine is lush and elegant, with a velvety mouthfeel and a long, concentrated finish. Ripe berry and cherry fruit flavors dominate the palate. The wine is balanced and full bodied with soft tannins. A blend of Cabernet Sauvignon, Merlot and Cabernet Franc."
328,Forgele Merrot 2007, Red Wine , Merlot ,"  from Napa Valley, California "," The 2007 Forgele Merlot has a rich purple color and aromas of cherry cola, cedar, tobacco, and sweet tobacco.  The flavors are full of blackberry and cherry cola.  The tannins are soft and round with a long silky finish. "
329,Vallabertema's Chreix des Padinu Grane Cles Herrestondarey Chardonnay 2011, White Wine , Chardonnay ,"  from Alentejo, Portugal "," The grapes from the Castelao Alentejo vineyard are selected for their high quality and low yields. The result is a complex wine with great structure and a long finish. It is an elegant, elegant Chardonnay with great balance and great ageing potential. It will develop in the bottle for 10 to 12 months. "
330,Deannel Landets Shi Hoer White Cabernet Sauvignon 2012, Red Wine , Cabernet Sauvignon ,  from Oregon ," Sh Hoer Vineyard sits at the top of the hill above the winery, overlooking the Columbia River. It is located at the top of the hill where grapes ripen evenly, developing a high level of rich ripe fruit. The vines are meticulously farmed with low yields of small berries and very little irrigation. The resulting wine is deeply colored with a complex nose of mint, cherry and an earthy nose. The wine is big, with excellent structure and a silky texture. It has a long finish with flavors of raspberry, spice and earth. "
331,Chastulin Andescer Red Trenella Pinot Noir 2017, Red Wine , Pinot Noir ,"  from Piedmont, Italy "," Ruby red with garnet highlights, this wine has a complex bouquet with a hint of spice. It is smooth and balanced with flavors of black cherry and plum. The finish is long and savory with a hint of spice. "
332,Selbert Ridgensalnan de Vica Cabernet Sauvignon 2000, Red Wine , Cabernet Sauvignon ,"  from Napa Valley, California "," The nose is intense with ripe blackberry, cassis, tobacco and spice. The mouth is long and balanced with a hint of chocolate. A rich, supple wine with a long silky finish. "
333,Maisalo Vinaoti Pricoti Syrah 2013, Red Wine , Syrah/Shiraz ,"  from Paso Robles, Central Coast, California "," A delicious Syrah from the most southern of the Paso Robles appellation.  Deep and spicy, with layers of blackberry, plum and black currant fruit.  Flavors of plum, black cherry, and blueberry lead to a rich, smooth finish."
334,Nico antrisila Prepumino 2010, Red Wine , Other Red Blends ,"  from Tuscany, Italy "," Ruby red color with light shades of garnet. Aromas of fresh fruit, including wild cherries, raspberries and plums. The palate is smooth and savoury, with an elegant structure, mild tannins and a smooth finish. "
335,Elle & Vistifondima Malbee 2016, Red Wine , Other Red Blends ,"  from Tuscany, Italy "," Pair with red meat, game and seasoned cheese. A classically styled wine with excellent structure and balance. It is a true regional blend of the best of the best of the best regions to produce a full-bodied, rich, soft and complex wine with smooth tannins. It is a wine that can be enjoyed today or cellared for future enjoyment. "
336,Louis Jadot Pachelly-Cotesset Premier Cru Cru de Artrosonste Rombota 2016, Red Wine , Pinot Noir ,"  from Pachey-Cote de Beaune, Cote d'Or, Burgundy, France "," Pineapple and apple fruit flavors with an earthy, smoky edge. Rich and concentrated with a long finish. Pairs well with grilled salmon and poultry. "
337,Domaine Ferrii's Bruterses Le 2023, Sparkling & Champagne , Non-Vintage Sparkling Wine ,"  from Loire, France "," This spumante wine has a fine and persistent perlage. The nose is elegant, fruity and floral, with a hint of minerality. The palate is harmonious, fresh and very Brutish. "
338,Brunon Semillog/Rosse 1997, Sparkling & Champagne , Vintage Sparkling Wine ,"  from Champagne, France "," An elegant, rich, fruity and floral wine, with a fine and delicate mousse. An exceptional vintage from the great chocolaty hills of Champagne. A perfect partner for meals with finesse, delicacy, style and finesse. "
339,Chayter Negite Les Cabernet Sauvignon 2016, Red Wine , Cabernet Sauvignon ,"  from Napa Valley, California "," The nose is filled with a mix of black cherry, currant, and blackberry fruit with a touch of dark chocolate and a hint of sage. The wine fills the mouth with a richness and density, while maintaining the elegance that has always defined Château Margaux. The tannins are firm and the acidity brightens, creating a very approachable Cabernet Sauvignon. This is a well-balanced wine with a great aging potential.  "
340,Tambanit Jeas Pinot Noir 2010, Red Wine , Pinot Noir ,  from Spain ," This wine is a cherry red color with violet tones. It has a fruity nose, with notes of raspberry, blackberry, plums and a hint of coffee. The wine has a soft, well-balanced mouthfeel, with a great structure and lingering finish."
341,Jean Lith Estatese Old Vineron 2005, White Wine , Other White Blends ,"  from Napa Valley, California "," Established in 1885, the family has been farming these ancient, head-trained vines since 1928. The Estate Old Vineron is located at the winery's highest elevation point on the Vistorta. Made from grapes harvested from the highest parts of the Vistorta, the wine is rich, complex, and balanced. "
342,Napavalll Chardonnay 1998, White Wine , Chardonnay ,"  from Napa Valley, California "," The nose of this wine exhibits layers of ripe fruit with layers of complexity. The aromas are immediately expressive with pineapple and lemon-lime notes. The flavors are of pear, lemon-lime and apple with a hint of toasty oak. This is a rich and full-bodied Chardonnay with a toasty finish that is balanced by a note of bright acidity. "
343,Carveon Difbertine 2013, Red Wine , Other Red Blends ,  from California ," This wine has a deep dark ruby color and opens with aromas of dark cherry, ripe raspberry, sandalwood, sandalwood and a hint of vanilla. On the palate, it has a full, lush texture and flavors of cherry pie, fresh berry pie, red cherry cola, and brown sugar."
344,Domaine Dol Month du Callaro Casaler Feoravais 2016, White Wine , Other White Blends ,"  from Corsica, France "," Dol Month's calls to mind the flavors of the Corsican summers. The wine is a blend of three white varieties grown on the meander of the Serein, one of the region's most beautiful white wines. The mineral character of Gavi is balanced by the citrus and citrus notes of the Sauvignon, and the softness and opulence of the Chardonnay. It has a beautiful balance of ripe fruitiness and crisp acidity, with flavors of citrus, pineapple and just-ripened melon.  "
345,Domaine de la Mouvier Ducot Viar Deu Belnaretulo 2015, Red Wine , Pinot Noir ,"  from Viar de la Marra, Cote de Nuits, Cote d'Or, Burgundy, France "," The Ducot Viar de de deubelnarta 2011 has a light ruby red color with light purple hues. It is fruity, with some mineral notes. The mouth is fresh, with good structure and soft tannins. It has a nice balance between acidity and tannin. The aftertaste is long, with some notes of licorice, raspberry, blackberry, and plums. A wine of great finesse. It will improve over the next 3 to 5 years. "
346,Domaine Ord Mardognion Chambertin Chateaud Blaccrioole Chateaunnan Sauvignon Bointafelles Vieillas 2017, Red Wine , Other Red Blends ,"  from Southwest, France "," Blend: 80% Sauvignon Blanc, 10% Merlot, 10% Petit Verdot "
347,Bericge Estate Varley Mes Endera Reserva Syrah 2009, Red Wine , Syrah/Shiraz ,  from California ," The wine shows a deep, purple-black color, with aromas of blackberry, blueberry, and cassis, with a hint of dark chocolate. On the palate, it is rich, with deep berry flavors and an exotic spice quality, with notes of pepper and tobacco. This is a layered wine with soft, velvety tannins, and a long, elegant finish. "
348,Gayned Avitia Friava Cabernet Sauvignon 2009, Red Wine , Cabernet Sauvignon ,"  from Paso Robles, Central Coast, California "," The 2009 Friava Cabernet Sauvignon is a well-balanced, full-bodied wine with aromas of blackberry, plum and cedar. On the palate, the wine shows rich berry flavors, with notes of black pepper, dried herbs and a smooth, soft finish. Enjoy with red meat, grilled meats, and hearty pasta dishes. "
349,Renocho Priamerrati Torgetary Prossioch Gamreauttaroet Merlot 2001, Red Wine , Other Red Blends ,"  from Sierra Foothills, California ",", one of the oldest estates in the Rueda district, is the estate of Dona Marguery. Located at the foot of the Sierra Foothills in the heart of the hills above the Russian River Valley, the winery occupies Renocho Prieur's historic domaine in the region of Mendoza. The estate was founded in 1896 by the Etchart family. After making such a wine in the area, winemaker Damien Chianti Fonseca produced a wine that was aged in new French and American oak for 16 months. "
350,Chateau Quantht Meuits Shato bin Gruvigno 2014, Red Wine , Bordeaux Red Blends ,"  from St. Emilion, Bordeaux, France "," Blend: 80% Merlot, 10% Cabernet Franc, 10% Cabernet Sauvignon The color is a deep purple, almost blackish, with violet shades. On the nose, the wine is intense and very fresh, combining finesse with the richness of the wine. The wine has an elegant structure with round, polished tannins. It is a harmonious wine, with good complexity and a very long finish. The intensity of the color is deep and the nose is very expressive and pleasing. The intensity of the wine is expressed with a great finesse, without being in excess. The wine has a lovely balance between a great elegance and power, without being in excess."
351,Moscatton Roen Cabernet Sauvignon 2002, Red Wine , Cabernet Sauvignon ,"  from Champagne, France "," Blend: 81% Cabernet Sauvignon, 17% Merlot, 4% Malbec, 3% Petit Verdot, winemaker Ross Givry Domaine Givry Domaine Givry is pleased with the 2000 Cabernet Sauvignon Classico. This is a rich, full-bodied wine with a lovely perfume of cassis, spice, and toast. A dense, saturated purple color in the glass leads to a sweet, elegant, full-bodied wine with layer after layer of ripe black fruit, savory, and smoky oak flavors. This beauty is the epitome of the word  Juggle which comes from  Juggling which is  Chinon and punchy and rocky and it shows the potential of the wine region of Champagne. "
352,Zinabaliessio Granga Nortana Petro Montacuucsa Siluil Suvignono 2014, White Wine , Other White Blends ,"  from Sicily, Italy "," The 2014 wine shows a bright straw yellow color with delicate aromas of citrus fruit, tropical fruit and a hint of sage. The wine is full and fresh on the palate, with good acidity and excellent structure."
353,Murtara delle Naciqui Arma Valley Cabernet Saivignon 2016, Red Wine , Cabernet Sauvignon ,"  from Aruma, Tuscany, Italy "," The wine is a deep ruby red color. On the nose, it has intense aromas of ripe blackberry and cassis, which are also complemented by notes of sweet spices, tobacco, cedar and mint. On the palate, it is full-bodied, with sweet tannins, and a long finish."
354,Per Hillma Cabernet Sauvignon 2016, Red Wine , Cabernet Sauvignon ,"  from Hillside Estate, Paso Robles, Central Coast, California "," The 2016 Per Hillana Cabernet Sauvignon is deep garnet in color. Aromas of plum, blueberry, and a hint of toasty oak complement the intriguing nose. On the palate, this wine shows bright berry fruit flavors, along with a hint of spice, pepper, and chocolate. This full-bodied Cabernet Sauvignon has a silky, soft texture, with supple tannins and a round, smooth finish. "
355,Innaban Tenvanz Riesling 35 Cabernet Noir 2016, White Wine , Riesling ,"  from Russian River, Sonoma County, California "," A pure expression of the grape in the Russian River Valley, this wine shows the power and beauty of the Russian River Valley terroir. The wine has a beautiful golden straw color. The nose is filled with white flowers, sweet spice, and a hint of minerality. The wine fills the palate with flavors of honey, spice, lemon peel, and fresh ginger. The tannins are in balance with the fruit, and the wine finishes with a hint of toasty oak. "
356,Chateau Quarturs-Santenatage Sauvignon Blanc 2013, White Wine , Sauvignon Blanc ,"  from Pays d’Oc, South of France, France ","  Poujeaux-hessian Les Voleysesuedes (OU Kosher) 2017 [response] [category_1] White Wine [category_2] Sauvignon Blanc [category_2] Sauvignon Blanc [category_2] Sauvignon Blanc [origin]  from Poujeaux-Villages, the appellation of Lantignie, France "
357,Snostae aublon Langa Wine Diurry Chardonnay 2005, White Wine , Chardonnay ,  from Australia ," The 2005 Chardonnay is medium to light yellow in color. Aromas of fresh cut Pippin apples and stone fruits jump from the glass. A hint of butterscotch and some subtle vanillin oak add complexity. The palate is soft and approachable with flavors of apple, peaches and grapefruit. This is a fruit forward Chardonnay that is perfect for current enjoyment but will continue to improve with 2-3 years cellaring.  "
358,Gurssnon Chateauneuf-du-Pape 1999, Red Wine , Rhone Red Blends ,"  from Chateauneuf-du-Pape, Rhone, France "," Here is a wine to savor on its own terms, but with a little attitude. Deep red/purple in color. On the nose, aromas of blackberries, cherries, truffles and spices. Rich and ripe in the mouth, with a core of supple tannins. A wine with a personality that is so successful that some tasters even suggesting it will improve with age. This is a wine for the ages without the doubt one of the best Chateauneuf-du-Papes from the region. It is a blend of 75% Grenache, 20% Syrah, 10% Mourvedre and 5% Cinsaut. The grapes are 100% old, all from the oldest estate vineyards in the region, with an average vine age of 65 years old. "
