,name,category_1,category_2,origin,description
275,Aysentedtl Ben Feilloaud Chardonnay 2016,White Wine,Chardonnay,"Burgundy, France","The Ben Feilloaud Chardonnay is very approachable now, and will cellar well for at least 3-4 years. A wine of great character, the Feilloaud is well-rounded with flavors of fresh fruits, citrus and tropical fruit. The mouthfeel is generous and generous, with a smooth, creamy texture. The wine is well-balanced and very pleasing. The aromas are floral and fruity, while the flavors mirror aromas with some roundness. The wine is well-rounded and fresh, with a smooth, silky texture. A very well-rounded wine. The finish is long, lingering on the finish and fresh, refreshing acidity and fruity flavors."
276,Sanbetce La Steami Berlot La Cairolero LaLtieha 2008,Red Wine,Bordeaux Red Blends,Chile,"The wine has a deep, clear ruby red color.  On the nose, it is very expressive with aromas of blackberries, black cherries, coffee, vanilla, and sweet spices, such as black pepper and cedar.  On the palate it is fresh and soft with well-balanced acidity, good length and lingering aftertaste.  In the mouth, the wine is fresh, balanced and well-structured.  The mouthfeel is long and soft.  The acidity is well-integrated, leading to a very well-balanced, pleasant and lingering finish.  The wine is a versatile wine, capable of matching well with food.  It is an excellent wine to pair with hearty dishes such as roasted, grilled, braised, and stews, as well as grilled and roasted fish, meat-based pasta dishes, and rice dishes with sauces with light sauces. ©International Wine Cellars 2008 LaLtieha"
279,Pranz Roston Vineyard Chardonnay 2001,White Wine,Chardonnay,"Willamette Valley, Oregon","Rich and creamy in texture with attractive fruit, apple and toast flavors.  This wine is best enjoyed chilled on its own as an aperitif or with fish, poultry, veal, and mild cheeses....  and with a little aeration, it reveals a lovely, golden straw color.   It has a nice, ripe mouthfeel with a long, pleasing finish.  We recommend that you open an hour before drinking.  This wine will continue to improve for 3-5 years and will 229 cases.  Serve well-chilled.  Serve at a temperature of 48 to 50°F."
280,Matas-Giulten Le-Pinas Premier Cru Rouge 2014,Red Wine,Pinot Noir,"Willamette Valley, Oregon","Le Pinas is a full-bodied wine with classic varietal flavors of plum, black cherry, violet and spice with a hint of mineral undertones. The wine's soft, round tannins are well-integrated and well-balanced. The mouthfeel is well-rounded with a long finish. The wine's complexity and character make it a great companion for a wide variety of cuisines."
281,Domaiseu de los Aikerva Tortanien Zinfandel 2009,Red Wine,Zinfandel,Chile,"Intense and bright ruby red with violet tones. Rich, round and fruity with aromas of ripe fruits, cherries, strawberries and red currants. The mouthfeel is well-balanced, soft and round, with pleasing, round and fresh tannins.  The finish is pleasant, fruity and long,today, it is a very well-rounded wine."
282,Campile Chardonnay Edebino 2005,White Wine,Chardonnay,"Edna Valley, Central Coast, California","The 2005 Edebino displays a straw color with intense aromas of grapefruit, white flowers, and tropical fruits. The flavors mirror aromas with the aromas following with the same fruitiness, along with hints of caramel and toast. The mouthfeel is medium-bodied with balanced acidity and full-flavored, creamy, mouthwatering flavors. The finish is long with lingering mineral and mineral tones. This wineONG"
283,Lee  abernat Sauvignon Blend 1991,White Wine,Sauvignon Blanc,Australia,"This wine has an attractive straw color with a green hue. The aroma is very typical of Sauvignon Blanc. The wine is full of crisp tropical fruit and citrus flavors. The palate is medium bodied with citrus and herbal flavors. The wine has a crisp, refreshing finish. This wine is best consumed chilled. Serve well-chilled and allow to warm in your glass."
286,Steger Macinap Cuvene Cabernet Sauvignon 2005,Red Wine,Cabernet Sauvignon,South Africa,"A well-rounded, soft and elegant wine with notes of spice and ripe fruit with good acidity.  The wine has an attractive, light-golden color with a good intensity.  The aroma is ripe and juicy with good intensity.  The wine is well-balanced with ripe tannins and excellent concentration.  The finish is smooth and long."
287,Baranas Ve Montebine 1097,White Wine,Other White Blends,Portugal,"Fresh, fruity, crisp, and easy-drinking, this wine is well-suited for any occasion. A lively, fruity, Vegan blend of white wine, white meats and mild cheese. It's a great companion for tapas, shellfish, and lighter-styled fish such as prawns, clams, lobster, crab, scallops, scallops in a cream sauce and creamy, veal dishes."
288,La Nerch Noll Pinot Noir 2015,Red Wine,Pinot Noir,"Willamette Valley, Oregon","This wine displays intense aromas of cherry, strawberry and raspberry with notes of clove, nutmeg Fiji and leather. The mouthfeel is soft, round, with nice round tannins and long finish. The wine is very approachable now with a good decanting before drinking. It will cellar well for 5-8 yearsluaj"
289,Treenons Aldramano Riserva Conterier 2000,Red Wine,Other Red Blends,Italy,"This is a wine of remarkable intensity, depth and complexity, which will continue to improve over the next 3 to 5 years.  The structure of the wine is very well-integrated, smooth and velvety.  The flavor is very well-balanced and full-bodied, and the overall impression is very pleasant and persistent.  The finish is long and pleasant.  The wine is recommended to drink now and for the next 2- 3 years."
291,Dolamina Carnarca Cuvee Bragne Saevignon Blanc 2017,White Wine,Sauvignon Blanc,"Saevignon, Loire, France","The wine is bright and fresh, with fruity aromas of lemon and lime, grapefruit, grapefruit and pineapple, and a touch of mineral notes. On the palate, the wine is full and round, with flavors of citrus, grapefruit, and grapefruit. The finish is long, mineral and crisp. The wine is excellent with fish and shellfish, white meats, or lightly grilled fish."
292,RVoen Estate Surostille Yuerras Pinot Noir 2011,Red Wine,Pinot Noir,"Yamhill-Carlton District, Willamette Valley, Oregon","The 2011 Surostille is the first wine we make into a winery designated cuvee. In addition to our usual single vineyard designate cuvee, we also make the same cuvee into a cuvee of the single vineyard, and have that wine become a single vineyard designate. This wine is an attractive wine with aromas of raspberry, black cherry and strawberry. On the palate, this wine is medium-bodied with flavors of cherry, pomegranate, and earthy tones. The tannins are soft and round, yet well-integrated and balanced. The wine finishes with a nice balance between sweetness and acidity."
293,Vinger Galle Vineyards Ginge Reserva Cabernet Sauvignon 1999,Red Wine,Cabernet Sauvignon,Chile,"Deep garnet in color with ripe, ripe fruit aromas, especially blackcurrants, with a touch of violets.  Well-structured with soft tannins, this wine shows excellent balance between alcohol and acidity, and shows a long finish."
294,Berrofbey Cranamily Nape Blund 2014,Red Wine,Pinot Noir,"Willamette Valley, Oregon","The wine’s bouquet is a classic combination of fresh, ripe cherries and red currants, along with sweet spices and spices that linger on the finish. The palate is medium-bodied with medium-to-high acidity and juicy, round tannins. Flavors mirror aromas with aromas of blackberries and currants, spices, and sweet herbs. This wine has good structure and balance with well-integrated, round, ripe tannins. The finish is long, pleasant, and fresh with lingering flavors of ripe fruit and spicy flavors. The 2014 Cranamily is an excellent food companion. It is a great companion for roasted or grilled fish, roasted vegetables, vegetable soups, roasted vegetables with light sauces, creamy sauces, white sauces, roasted vegetables and lighter cheeses."
295,Groborg Reserva Zinet Noir 2012,Red Wine,Other Red Blends,Chile,"The 2012 Reserva Zinet Noir is ruby red in color with violet tones. The nose is fresh and intense, showing typical varietal aromas of blackberries, cherries, and blackberries, along with notes of toast and vanilla. The mouthfeel is full-bodied and well-rounded with soft, round tannins, which are balanced by good acidity, good volume, and good structure. The overall impression is balanced and elegant. The finish is persistent and long."
296,Cleiver Abley Latecti Pinot Grid 2015,Red Wine,Pinot Noir,"Yamhill-Carlton District, Willamette Valley, Oregon","The wine shows off its power and intensity from the vineyard's high-toned red fruit aromatics, which lead to a mid-weight mouthfeel with medium body and acidity. This wine shows tremendous balance between power and finesse, and will cellar well for at least 5 years. The wine is best paired with dishes featuring mushrooms, roasted vegetables, grilled fish, brandsied cherries, and more."
297,Kester Botre Red Roado 2016,Red Wine,Bordeaux Red Blends,"Mendoza, Argentina","Intense ruby red color with violet hues. On the nose, the wine displays aromas of ripe black fruits, spices and pepper with hints of vanilla and caramel. The palate offers smooth, round t Voltage and fresh acidity with a long, fresh finish."
299,Bonnquita Bouzianu 1998,Red Wine,Other Red Blends,Chile,"The Bouzianu is a delicious wine with aromas of blackberries, strawberries, cherries and plum.  The mouthfeel is soft and supple, with round, soft tannins and a pleasant acidity.  The overall impression is a well-balanced, very well-crafted wine with a long, fresh finish.   It can be drunk now and over the next year."
300,Rapalas des Pinas 2004,Red Wine,Bordeaux Red Blends,Chile,"The wine is very elegant, with well-balanced aromas and flavors of black cherries, blackberries Adventurous fruit. The mouthfeel is soft, soft and pleasant, very approachable, and pleasant with soft, round and well-rounded tannins. This wine is very good with all red meats, game, lamb, veal, duck, pork, game, game with red sauces, chicken, veal, veal with roasted vegetables, or red sauces with herbs, mushrooms, red peppers, tomato and cheeses."
302,Tnha Unrwero Cabernet Sauvignon (375ML half-bottle) 2014,Red Wine,Cabernet Sauvignon,Chile,"Bright ruby red. Intense aromas of blackberry, plum and mineral notes. Medium bodied with supple tannins, balanced acidity and soft, round tannins. Long, fresh finish.  Pairings: This wine can be paired with roasted and grilled red meat dishes, grilled fish, game, and cheese."
303,Mognaildp Edo Napa Valley Zinandel 2014,Red Wine,Zinfandel,"Napa Valley, California","This Zinfandel is a perfect match for roasted vegetables, barbequed steak, and mild sauces with grilled or lightly smoked foods.  Serve at room temperature or in a warm cellar for optimal enjoyment of aromas and flavors.  potential to cellar for up to 4 years."
304,erramet Holdnes Estate Russion Vineyard Chardonnay 2000,White Wine,Chardonnay,"Willamette Valley, Oregon","The grapes for this wine were grown on the Russion Vineyard on the north eastern slope of the Pacific. The vineyard is planted on a limestone and sandy loam soil, where the roots are well drained and are well protected from the cooling influences from the Pacific Ocean.  These factors combined with the proximity of the Pacific Ocean, allow for maximum fruit ripeness.  The wine is aged in French oak barrels for 22 months.  This wine will continue to improve and develop for the next 5 to 7 years.    Try serving this wine chilled and serve it well chilled.  Serve well chilled."
305,Lra Grist Bit Vineyards Caberet Sauvignon 2004,White Wine,Cabernet Sauvignon,"Napa Valley, California","This wine is an excellent companion for a wide range of foods. This wine is a great match for roasted or grilled fish such as sashimi, scallops and lobster.  Serve with spicy foods and Asian foods with a sweet and sour base."
307,Re Brosnerson Vineyardi Vineyards Zinfandel 2018,Red Wine,Zinfandel,"Alexander Valley, Sonoma County, California","This is a fruit forward, fresh, bright wine with juicy aromas of raspberry, cranberry, and blackberry. A touch of vanilla and spice linger on the finish. The mouth feel is rich and juicy with flavors of red and black fruit with a nice touch of caramel and sweet oak on the finish."
308,Brobo de Landy Cabernet Sauvignon 2014,Red Wine,Cabernet Sauvignon,"Napa Valley, California","This is a full-bodied, bold and rich wine. The nose offers fresh notes of blackberries, black cherries, vanilla, brown sugar and toasty oak. The palate is plush and round with flavors of ripe cherry, chocolate, tobacco and toasty oak. The mouth feel is full, rich and viscous. The finish is Newsweek and long with sweet tannins and a touch of sweet oak."
309,Argiana Cabernet Sauvignon 2002,Red Wine,Cabernet Sauvignon,Chile,"A vibrant wine with intense ruby color, it offers rich and ripe fruit aromas, typical of this grape.  On the palate it is soft, well-balanced and well-integrated, with flavors of red fruit, such as cher Socialist and plum, with an aromatic touch of pepper.  The overall impression is of a very harmonious wine with well-integrated tannins.  The finish is long, smooth, fruity and well-balanced."
310,Sagal 2 Ballorelord Pinot Noir 2013,Red Wine,Pinot Noir,"Willamette Valley, Oregon","The 2013 Sagal 2 Ballorelor is garnet in color with red-purple tones. Aromas of cherries, strawberries, and strawberries on the nose, and floral aromas of violet, lilacs, and rose petals. Flavors mirror aromas with a fresh attack, lively acidity, and an excellent balance between sweetness and freshness. The palate has ripe red fruits with flavors of strawberries, cherries, cherries, strawberries, and cherries. The mouthfeel is supple and round with round, sweet tannins that lend to a pleasant and refreshing finish. The wine is medium bodied with balanced acidity. The finish is long with a touch of minerality."
311,Tinrey St. Eoghine Zinfandel 1999,Red Wine,Zinfandel,"Central Coast, California","The 1999 vintage was a relatively cool vintage, resulting in wines that were relatively low in acidity.  The resulting wines are rounder and more complex than the last couple vintages.  The nose shows ripe cherries, ripe plums and sweet pepper, with mineral tones.  The mouth feel is medium bodied, round and well-balanced, with soft, round tannins and a long, pleasant finish."
314,Loye Seneopena Reserve Chardonnay 2009,White Wine,Chardonnay,Chile,"This Chardonnay has a deep golden color. Aromas of ripe669 apples, white peaches and tangerines. Flavors mirror aromas with an excellent balance between sugar and acidity.  mineral, citrus, green apple and mineral undertones. Its flavor is full pact and creamy. The wine is long and well-rounded with mineral and fruit undertones. This is an easy-drinking Chardonnay with an overall impression of freshness and balance."
315,Guquica Syrah Alan Daria Nedita Reder Pionlo 2002,Red Wine,Syrah/Shiraz,Australia,"Deep ruby with an attractive garnet rim. The bouquet shows intense aromas of ripe fruits, plum, fig, and dried herbs. The palate has generous flavours of ripe cherries and plums, with complex flavours of mint, spices, and toast. The tannins are well-integrated with a long finish. The wine is well-balanced and drinkable now."
316,Breen Sigery Cabernet Sauvignon 1999,Red Wine,Cabernet Sauvignon,Australia,"The 1999 Sigery is a complex wine with a dark purple hue. The aroma is lifted with spicy blackcurrant and cassis flavours with some sweetly smoky oak. The mouthfeel is generous and generous with soft and round tannins, good acidity and great balance between sweetness and unforrested oak, oak is very subtle in this vintage. The finish is long with a long spicy and toasty aftertaste."
317,Yalinarza Anda Velte Buncia 2014,Red Wine,Other Red Blends,"Tuscany, Italy","Intense ruby red color. Very elegant bouquet with an aromatic range of mature red fruit and fruit jam, strawberry, and blackberry with aromas of liquorice, cloves, pepper, tobacco, leather, leather, vanilla and spices. Full bodied, very well balanced with very good volume and soft tannins. Pairings: Excellent with red meats and game, especially with grilled or roasted meat."
319,d'Arelion Chardonnay 2013,White Wine,Chardonnay,"Carneros, California","This wine is bright, with rich, fresh aromas of tangerine, honeysuckle, pineapple, and honeydew. On the palate, the wine is medium-bodied with flavors of ripe fruit and creamy flavors with rich mouthfeel. The finish is long and fruity with lingering mineral, nutty, butter, and sweet oak flavors."
320,Celerbot Soumi Carnare Romallina 2002,Red Wine,Other Red Blends,"Tuscany, Italy","Soumi Carnare Romallina is an intense, intense ruby red wine. It has a bouquet, dominated by mature fruit, such as cherry, plum and blackberry. It has an intense flavor, full of mature fruit and balanced with the pleasant, round and pleasant acidity. It is an easy-drinking, easy-drinking wine, which is very good with fresh pasta dishes, red meats and game. It is an excellent match for red wine sauces, such as a Tuscan marinade or a Tuscan blend.  Serve slightly chilled."
322,Yarnady Duant Pinot Noir 2014,Red Wine,Pinot Noir,"Willamette Valley, Oregon","The 2014 vintage of Duant Pinot Noir is a lovely wine with aromas of cranberry, fresh herbs and citrus notes, complemented by notes of vanilla, brown sugar and roasted coffee. The mouthfeel is full and juicy, with bright acidity and silky, well-balanced tannins. The finish is long and supple, with lingering flavors of dark fruit and spice. This wine will cellar well for the next 2- 3 years."
323,Duvaista yervro Reserva Chardonnay (1.5L) 1998,White Wine,Chardonnay,Chile,"The nose features ripe pear, citrus and floral tones. On the palate, the wine is medium-bodied with a nice balance of fruit, acidity and oak.  A medium-term cellaring wine. .  of   The 1998 Duvaista y Corte Chardonnay has a very pleasant, refreshing taste with attractive acidity.  It is a great companion for grilled fish such as monkfish, or other shell investigate fish in cream sauces, particularly those with cream portfolios.  This wine will improve in the bottle for 2 to 3 years.  The wine is well-suited to white meats and seafood dishes."
324,Novilt Bermane Mountain Pinot Niiner 2000,Red Wine,Pinot Noir,"Willamette Valley, Oregon","Vibrant aromas of strawberries, cherries, raspberries, cherries, cherries, strawberries, strawberries, strawberries, cherries, cherries, strawberries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries, cherries,Football, sweets, plums, blackberries, cherries, cherries, cherries, cherries, cherries oz."
325,Lousso Family Cellars Sauvignon Blanco Estate Pinat Noir 2015,White Wine,Sauvignon Blanc,"Casablanca Valley, Chile","A lively wine with good concentration and complexity. The nose offers intense aromas of citrus and fresh herbs with herbal notes and hints of green apple. The palate offers a smooth, well-balanced acidity with great balance between sweetness and freshness. Flavors mirror aromas with an addition of lemon and fresh fruit flavors. A fresh and medium-bodied wine, balanced by a pleasant acidity and pleasant residual sugar."
326,Lancenato Rerfel Welhorake Syrah 2003,Red Wine,Syrah/Shiraz,Argentina,"A vibrant, deep purple color with a hint of garnet. Aromas are dominated by ripe fruit such as blackberries, plums, black cherries, and figs, with vanilla, spices and pepper.  The mouthfeel is full, round and smooth, with good acidity.  The wine is well-balanced with pleasant tannins and a pleasing acidity.  This is a well-rounded wine that can be paired with grilled meats, roasted vegetables, stews, white sauces, pizza accidentale, and mild cheeses."
327,Gricke Wintantes Mobacholba Cabernet Sauvignon 1995,Red Wine,Cabernet Sauvignon,Chile,"Intense ruby color.  Full-bodied and elegant, with a great intensity and intensity.  Powerful aromas of black fruits, with notes of vanilla and tobacco.  Firm tannins, well balanced, with sweet, round and ripe tannins.  Elegant, complex and balanced, with an overall impression of fruit, chocolate and coffee.  Overall, a good wine of great finesse, structure, and complexity.  It is a wine of Rearrestability and finesse."
329,Vallabertema's Chreix des Padinu Grane Cles Herrestondarey Chardonnay 2011,White Wine,Chardonnay,Chile,"Bright yellow in color, this Chardonnay offers intense and fresh aromas of pear, quince, lime and papaya, together Gronet and butter. The mouthfeel is smooth, round and supple, with a good acidity. This wine is well-balanced between acidity and sugar."
330,Deannel Landets Shi Hoer White Cabernet Sauvignon 2012,Red Wine,Cabernet Sauvignon,,
331,Chastulin Andescer Red Trenella Pinot Noir 2017,Red Wine,Pinot Noir,"Andes, Spain","Medium-bodied, fresh, and aromatic. Red fruits, and floral tones, like violets, are present in the nose. Fresh and balanced, with good body and volume. Medium-long finish. The wine has a nice bright color with violet hues. On the nose, it is round, soft, fruity, well-rounded and well-balanced. The mouthfeel is soft, soft, well-rounded, fruity,orney and persistent. The tannins are round, round, medium-light, well-integrated and well-rounded. The acidity is bright, fresh and well-integrated. The wine has a pleasant hypocritical and balanced acidity."
332,Selbert Ridgensalnan de Vica Cabernet Sauvignon 2000,Red Wine,Cabernet Sauvignon,Chile,"This wine is deep, dark, and well-rounded. The nose offers an enticing bouquet of ripe fruit, currants, cherries, and chocolate. On the palate, the wine is well-balanced, supple, and well-rounded with ripe, round tannins. It is an excellent accompaniment to grilled, roasted, or roasted red meats, cheese, and pastas with spicy sauces."
333,Maisalo Vinaoti Pricoti Syrah 2013,Red Wine,Syrah/Shiraz,"Livermore Valley, Central Coast, California","The 2013 Vinaoti Pricoti Syrah is a true reflection of the cool climate vineyards of the Livermore Valley. It has aromas of blueberry, cherry and spice with bright acidity, bright and lively flavors of ripe fruit, and round tannins on the finish. This Syrah is an excellent food companion, especially with grilled fish, grilled chicken, veal and roasted vegetables."
334,Nico antrisila Prepumino 2010,Red Wine,Other Red Blends,Italy,"This wine is ruby red in color, with violet tones.  The bouquet is fresh, with good intensity, and a mineral, ripe fruit, and balsamic background.  On the palate it is well-balanced and full-bodied, with ripe tannins, good acidity and a pleasant finish."
335,Elle & Vistifondima Malbee 2016,White Wine,Other White Blends,"Casablanca Valley, Chile","The wine shows bright, lively aromas of citrus and pineapple with floral notes. On the palate, it is fresh and well-balanced, with flavors of citrus and mineral tones, and a touch of sweetness. The finish is long, fruity and refreshing.  acidity and minerality, freshness and fruitiness"
336,Louis Jadot Pachelly-Cotesset Premier Cru Cru de Artrosonste Rombota 2016,Red Wine,Pinot Noir,"Willamette Valley, Oregon","The nose offers floral aromas of violet, white pepper, and mineral tones with a hint of spice. On the palate, the wine opens with a pleasant combination of sweetness and freshness, a hint of earthiness, and a lively acidity. It has a juicy entry, and the mouthfeel is fresh and round with well-balanced acidity. The tannins are supple and the mouthfeel is long and clean with good acidity. The finish is long with lingering flavors of dark fruit and spice."
340,Tambanit Jeas Pinot Noir 2010,Red Wine,Pinot Noir,"Willamette Valley, Oregon","The 2010 Jeas has aromas of bright red fruits, including cherries and strawberries. The palate features rich flavors of strawberry and cherries and cherries with a hint of baking spices. The mouthfeel is smooth, supple, and well-balanced with mouth-coating tannins. The mouthfeel is round and juicy with a lingering finish of cherry and spice."
341,Jean Lith Estatese Old Vineron 2005,Red Wine,Other Red Blends,"Sonoma County, California","This wine is a blend of 50% Merlot, 33% Cabernet Sauvignon, 13% Cabernet Franc, and 4% Malbec. The wine has a deep ruby color with ripe cherry, strawberry, and raspberry aromas with hints of nutmeg, oak, and toast. The palate offers bright, ripe fruit with excellent balance between sweetness and fresh acidity. The wine has a well-balanced mouthfeel with soft,riendly tannins, acidity, and fruit, and a long, faulty finishumpy, but tasty."
342,Napavalll Chardonnay 1998,White Wine,Chardonnay,"Napa Valley, California","Our 1998 Napavalll Chardonnay is a brilliant pale gold color with an attractive golden rim.  The aromas are delicate and enticing with delicate floral tones, apple, and pear, with a hint of oak.  On the palate, this wine is crisp, clean, and refreshing with a good balance between fruit sweetness and toasty oak complexity.  The mouthfeel is full and round with well-balanced acidity that enhances the fruitiness.  The finish is long with lingering fruit flavors.  This wine is enjoyable as a refreshing aperitif, or with a wide variety of foods including grilled fish, shellfish, shellfish salad, crab, crab cakes, and cream based pasta dishes."
343,Carveon Difbertine 2013,Red Wine,Bordeaux Red Blends,"Napa Valley, California","Our 2013 vintage of Difbertine is a great representation of the vintage and the Napa Valley terroir. The wine shows great intensity and freshness from the Merlot, Cabernet Sauvign Clapper Pinot Noir, and Cabernet Franc, while the structure from the Malbec gives the wine a rounder mouthfeel. The structure of the wine is well-balanced with well-integrated tannins and a lingering finish of spice and black fruit. The wine is approachable now and misses nothing in its youth. The wine is drinking well now and will Scholarly cellar for 2- 3 years."
345,Domaine de la Mouvier Ducot Viar Deu Belnaretulo 2015,Red Wine,Bordeaux Red Blends,"Belnertag, Bordeaux, France","The color is a deep ruby red. Aromas of ripe fruit, cassis, blackberries, cherries and strawberries, together with some mineral notes. The attack is rich and generous, with good acidity. A great structure with round and soft tannins, which are present and well-integrated."
346,Domaine Ord Mardognion Chambertin Chateaud Blaccrioole Chateaunnan Sauvignon Bointafelles Vieillas 2017,Red Wine,Pinot Noir,"Chateauneuf-du-Pape, Cote de Nuits, Cote d'Or, Burgundy, France","This wine has a ruby-red color with purple highlights. The nose is elegant and complex with red and black fruits, especially cherries, blackberries, blackcurrants, blackberries and blackcurrants. A very elegant wine with fine, well-integrated tannins. The wine is very pleasing now and will cellar well for at least 10 years."
348,Gayned Avitia Friava Cabernet Sauvignon 2009,Red Wine,Cabernet Sauvignon,Argentina,"Pairs well with grilled meats such as flank steak, steak, duck, roast pork tenderloin, and grilled chicken.  The wine is also a great companion to Mediterranean and grilled vegetables such as tomatoes, onions, and cucumber.  Serve at a temperature of 60 to 64 degrees F."
349,Renocho Priamerrati Torgetary Prossioch Gamreauttaroet Merlot 2001,Red Wine,Merlot,"Piedmont, Italy","The color is a deep red with violet tones.  The aroma is fresh and fruity with aromas ofvirtual fruit.  The taste is full and round with fruity flavors, sweet and supple tannins.  The aftertaste is very long and pleasant."
351,Moscatton Roen Cabernet Sauvignon 2002,Red Wine,Cabernet Sauvignon,"Napa Valley, California","Intense aromas of black cherry and black currants are complemented by flavors of vanilla and anise. The mouthfeel is round and well-balanced, with soft, ripe tannins. The finish is soft and lingering with balanced acidity. The wine will improve for 2- 3 years and cellar well for 2- 3 years. Enjoy this wine now or cellar for up to 5 years."
353,Murtara delle Naciqui Arma Valley Cabernet Saivignon 2016,Red Wine,Cabernet Sauvignon,"Alexander Valley, Sonoma County, California","The 2016 Alexander Valley Cabernet Sauvignon offers aromas of blackberry, plum, and dried fig with hints of nutmeg, clove, vanilla, and floral notes. The flavors mirror aromas with blackberry, black cherry, and blueTweak. The mouthfeel is rich and round with flavors of blackberry and black cherry with notes of toast, sweet leather, and a touch of mineral undertones. The finish is long with velvety tannins and a touch of fresh leather. The wine will continue to improve in the cellar for up to 5 years."
354,Per Hillma Cabernet Sauvignon 2016,Red Wine,Cabernet Sauvignon,"North Coast, California","This is a powerful wine with aromas of black currant, black nabes, and ripe cherries with hints of tobacco and cedar. The flavors mirror aromas with sweet black cherry, blackberries, and plums that carry through to the mouth-coating tannins. The finish is long with lingering flavors of sweet spices. The tannins are well-integrated and balanced, the acidity is fresh and vibrant, and the wine has a great balance between sweetness and structure."
355,Innaban Tenvanz Riesling 35 Cabernet Noir 2016,Red Wine,Bordeaux Red Blends,"Rheingau, Germany","With its vibrant and juicy profile, the wine is an excellent companion to red meats such as steak and ribeye as well as a wide variety of pasta dishes with red sauces and fresh cheeses., Weiner Estate Estate Cabernet Sauvignon"
356,Chateau Quarturs-Santenatage Sauvignon Blanc 2013,White Wine,Sauvignon Blanc,"Marlborough, New Zealand","A wine that is pale straw in color with green hues. A felonious nose of lees-macerated grapefruit, lemon, grapefruit and a hint of citrus. The palate is generous and juicy with lime, grapefruit and fresh-cut grass flavors with crisp acidity, minerally freshness and fine-grained tannins. This wine is an excellent accompaniment to seafood, shellfish and poultry dishes."
357,Snostae aublon Langa Wine Diurry Chardonnay 2005,White Wine,Chardonnay,Chile,"Pale yellow in color with green hues. Fruity, elegant, floral aromas. Elegant and round with mouth-coating flavors. It is well-balanced with crisp acidity and a long finish. A perfect accompaniment for grilled fish, shellfish, Asian foods and lighter fish."
358,Gurssnon Chateauneuf-du-Pape 1999,Red Wine,Rhone Red Blends,"Chateauneuf-du-PapeMaison Nicolas Rion (owner of the finest parcels of Grenache and Cinsault grapes) and his team have created a lovely wine that is more approachable and ready to drink now than it would be in a year or two.  The aromas are of intense ripe fruit with spicy notes and a hint of vanilla.  The mouthfeel is soft, round and juicy, with juicy flavors of raspberry and plum.  The tannins are well-integrated and the wine is balanced with a pleasing acidity.",
359,Chateau St. Deust Le Cormes P.A. Cochillaa Cuvee Elbarria 2013,Red Wine,Other Red Blends,"Ribera del Duero, Spain","A wine with a good balance between intensity and freshness, freshness and fruitiness. A wine that will age well for 1-2 years. The wine is made from 35% Garnacha, 30% Carinena, 15% Cabernet Sauvignon, 10% Syrah, 5% Merlot, 5% Cabernet Franc, 5% Malbec, 5% Carmenere, 5% Carignane, 5% Malbec and 5% Cabernet Sauvignon."
360,Chateau Sauver) 2008,Red Wine,Bordeaux Red Blends,"Central Coast, California","Aromas of black cherry, chocolate, and licorice are followed by rich flavors of ripe blackberries, plum and spice. A touch of vanilla and caramelized oak round out the mouthfeel. The wine is smooth and balanced with supple, supple tannins and lively acidity. The finish is longEls and satisfying."
361,Dena Castore Monteno Songia Schola 2006,White Wine,Other White Blends,Italy,"Straw yellow with greenish hues.  Intense and fruity on the nose.  Fresh, with a good balance between acidity and sweetness.  Light and pleasant, with pleasant and persistent aftertaste.  Excellent as an aperitif and also excellent with fish dishes.  Serve slightly chilled.  A good companion for dishes with sweet or sweet sauces, as well as fresh salads and white meat dishes."
362,Tary Ferrington Posciquesto 2013,Red Wine,Bordeaux Red Blends,"Napa Valley, California","The 2013 vintage of the Posciquesto offers an intense ruby color. The nose offers aromas of raspberry, blackberry, cassis, and chocolate. Flavors mirror aromas with hints of ripe fruit, earth, tobacco, and chocolate. The mouthfeel is full and round with a long and lingering finish. The wine is approachable now, but will cellar well for the next 4 to 5 years."
363,Domaine do Creganche Reanzuge d'Astande Reservifano Chirante 2017,Red Wine,Other Red Blends,"Sardinia, Italy","Rich, intense ruby red in color with intense aromas of ripe fruit and spices. Flavors mirror aromas with a fruity character, harmoniously balanced with sweet tannins, well-integrated acidity and long finish. Ideal with roasted red meats and stews."
364,OFuntade Valley LaChanfer Valley Cabernet Sauvignon 2011,Red Wine,Cabernet Sauvignon,Australia,"This wine is a deep red with purple hues. The nose is fresh with blackcurrant, red berries, cherries and spices. The palate is medium bodied with ripe sweet fruit, a touch of blackcurrant, and ripe tannins, balanced with fresh acidity. The overall impression is of a rich and well-rounded wine with good depth and intensity. This wine will continue to improve and gain complexity over the next 2- 3 years and will cellar well for up to 5 years."
365,Michaopello Riesling Shiraz 1998,Red Wine,Syrah/Shiraz,Chile,"Intense ruby red with violet tones. The nose is soft, round and intense with ripe red fruit, black pepper, herbs, tobacco and a hint of pepper. It is a well-balanced wine with a soft and pleasant mouthfeel. It is a great wine for the sipping and sipping wine lovers, as well as those who prefer to take a bite out of it!"
