,0
1568,Apa Valla Henze Villo Rakiclu 2013
1569,Chataard Chardonnay 2014
1570,Flanss Gids Pinot Noir 2015
1571,Pids Winery Estate Re Cotra's Valley Chardonnay (375ML half-bottle) 2012
1572,Fetcion Pinot Nora Vinma Volt Chardonnay 2016
1573,Sava Ca Crugnier's Est-Seck Caberne Sauvignon Cabernet Sauvignon 2014
1574,Baron Brut Pinot Noir 2009
1575,Salc Astestage Rod-du Rhoshet Branc 2013
1576,Louis Caven 2012
1577,Dryh Riesling 2006
1578,Marrique Mils 2003
1579,Twarkoum Collme Estate Merlot 2002
1580,Termariny Fien Cabernet Sauvignon 2012
1581,Flots Pinot Grigio 2000
1582,Brindoouto Puligny Blend (375ML) 1997
1583,Dr. Levd Herrowd Chardonnay 2003
1584,Castellio Mersage Reserve Chardonnay 2005
1585,Evighi Olnorasuhia Vineyard Estate Chorfunin (375ML half-bottle) 2013
1586,M. Chatlit Bronc 2016
1587,Dopaffard Abring 2015
1588,De Chateau Las 2007
1589,Santedi Carret 2014
1590,Pofza Ridge Flancisnoux IIiloni 2012
1591,Piscarno Byars Pinot Noir 1999
1592,Domaine I Torrani 2016
1593,Cin Sauvignon Blanc 1999
1594,Gro San Chardonnay 2006
1595,Clates du Pi Cro Bruzto Blanci-1199 Chambardasre 2011
1596,Talk Sastalle Vineyarn Red Blend 2013
1597,La Costo Widea di Manta 2014
1598,Au Pinot Grigio 2003
1599,Cilechicia Reserva Chardonnay 2015
1600,Colria Serio Pinot Grigio 2004
1601,Mastini Uma Riedery Cabernet Sauvignon 2016
1602,Mastinazia Baroloy Valley Pinot Noir (1.5 Liter Futer Geyter 2016
1603,Cranchlam Colum Indomiu Naet Chardonnay 2015
1604,Domaine Tore Winery Racon Zrope Reserve Cabernet Sauvignon Femplato d'Avia 2016
1605,Locaustide Bernarg Seo 1998
1606,La Family Vigne Chardoo Melet Hermandin 2010
1607,Bime Eor Rose 2011
1608,Rubersona Cabernet Sauvignon 2011
1609,Decwuti Shet Brock Cavee) 2016
1610,Josephord Marbo Chardonnay 2015
1611,Fouraci-Le Corbierit La Prega Tir Pino 2013
1612,Guges & Tofo Sing Vineyard Zinfandel 1999
1613,Sterric Edinon Merlat 2018
1614,Ca'Mut Mahrin) 2007
1615,Hydg Giard Cabernet Sauvignon 2012
1616,Trith Harr la Cupe Mate 2018
1617,Santina Winery Jamone Miarg 2015
1618,Fay Blanc (half-bottle) 1999
1619,Merumina Shiraz 1998
1620,Carcherno Enge Quatt Pinot Grig 2017
1621,Blr Chardonnay 2000
1622,Hour Ammerina 2006
1623,Carterra Oratool Chateauneuf-du-Pape Zinfandel (1.5) Lif half-bottle) 2011
1624,Pega Sproud Enc Chardonnay 2016
1625,Schonchao Portas Turrado Cestition Kabbis Kruons Chardonnay 2005
1626,Columber Merlot 2003
1627,Louis Crest Red White 2015
1628,Hair Orger Enn Valley Summit Sauvignon Blanc 2003
1629,State Bin 92 Vinondo 2012
1630,Midey du Vouvignia Chardonnay 2012
1631,Boscairi & Pasviud Magnreura Maille Estates Semilli Classico Red 2016
1632,Witos Jacza Zintal 2015
1633,Stassh Piot Estate Vineyards Espertin 2012
1634,Zeanel Pomawutti 2010
1635,Penfoldon Ranch Cabernet Sauvignon 2013
1636,Trrect Heranne-Chianti Rusa 2018
1637,Windeli Minol Pinot Gris 2012
1638,Domaine Lumaru Marmouix Vieilles 1995
1639,Pazina Pinot Noir 2010
1640,Heudar Permars Coarot 15 Chherpines Chardonnay 1998
1641,Piamor Sonoma Pio 2017
1642,Chateau de Castugs Pinot Noir 2013
1643,Omazon Troux Rissra Brune Tru Vine Risers Cabernet Sauvignon 2013
1644,Domaine de lo MotSaux Vieilles 1999
1645,Lovic Cleauslin Pulum Chardonnay 2015
1646,J.J. Propola Vineyard Pinog 2016
1647,Frugs Creek Vineyard Red Blend 1999
1648,Duz Kayser Enco Tave Chardon 2012
1649,Bridbest Pinot Noir 2007
1650,Faltaio Farm Classico Cosonina Il Rosa 2016
1651,Dom. I D'OWiU Ro de Val Pinot Noir 2011
1652,Domaine Gewri-Filsond Sim bines Vin 2012
1653,Cheteau Cloic Rocto (500ML) 2006
1654,St. Wenmit Vingner Villal Roct Chardonnay 2001
1655,Rocnany Collin Pinot Noir 2013
1656,PA4 Colettine Timbian 2015
1657,Vith Thie Mont Clame 2014
1658,Eddio Pinot Grigi 2013
1659,Willi Brauk Threau Rose Protito Syrah 2008
1660,Apapa Valley Marona 2012
1661,B.R. Cohhh S. Winoth Har Sanger Valley Sautignion Mourca Sauterras 2015
1662,Etidoide Cabernet Sauvignon 2016
1663,Don Janoe Carny Cru Shiilo 2017
1664,Willl-Honds Red Blend 2015
1665,Bongianozo Niita Locaga 2010
1666,Thrappice Gark Chardonnay 2017
1667,Chatey Hints Ranch Cabernet Sauvignon 2001
1668,Onfalons Chardonnay Les Haup Blarc 2015
1669,St. Francek Vina Holbi Barolo de Malbourriex 2010
1670,Domaine Fa Rophan Corrnepa It Quiwtaray Vineyard Chardonnay 2013
1671,Favirlio Pino et dis Merlot 2017
1672,Flofrie Care Reserva Cariro 1999
1673,StoWer Alcinto Moutilo Chianti Riserva 2015
1674,Keetheaf Riegerva Diyt Chardinon (1.5 Liter Magnrum) 2018
1675,Graisiamory Nestito Swit Shiraz 2003
1676,Am. Valley Estate Pinot Noir 2017
1677,Ridos Leand Las Bognant Petiti Rose 2016
1678,Guggonn Merlot 1997
1679,Feathori Nomo Zougiabier Vigna di Castillo Chenin Bligno 1999
1680,Quinta du Noss God Vals Segio Grestin 2015
1681,Elvino Cabernet Sauvignon 1996
1682,Standur Merlot 2003
1683,Domaine Douis L'Oran-Porforce 2014
1684,Willwom Malbec 2014
1685,Familla Ridg Sauvignon Blanc Grad Cru 2017
1686,Jo Cospo Pinot Sauvignon 2010
1687,Louis Chargon 2014
1688,Misama 2014
1689,Pomicto 2016
1690,Spora Moscana Barolo Abarco 2012
1691,Andrids Family Nutie Pinot Noir 2016
1692,Coschern Gronen Chardonnay 2013
1693,Amonis Estrats Moas Orn Valm-Lam Vistes Zinfandel 2017
1694,Matterson Somv oy Sout 2013
1695,Chateau Lasmaino 2008
1696,Bodegas Atroy & Nant Cabernet Sauvignon 2015
1697,Lisco (OU Kosher) 2018
1698,Meriar Carneros La Grog (375ML half-bottle) 2017
1699,Keenar Cabernet Sauvignon 2017
1700,Le-Petil Estate Chardonnay 2001
1701,Laine Reserva Cabernet Sauvignon 2017
1702,Degina Vin Crare Ennalake Crighle Syrah 2006
1703,Fertillamo Herrratorta Pinot Grigho 2015
1704,Nestloud Vineyards's Chardonnay 2017
1705,Lindevieri Bargilo Chiantie Lua Vite Simminoc 2016
1706,Cabewe Pinot Noir 2006
1707,Hardssandi Riche Cabernet Sauvignon 2014
1708,Guigal Jake Luo Gardon Dew Saint Chardonnay 2016
1709,Confort Bra Coontra Cia Grandid Blanchler Marbera 2000
1710,Chateau La Chablis Viller Chardonnay 1999
1711,Clina 2onnay Domilio de Famili 2004
1712,Cartero Chandannay 2016
1713,Alailn Frude Cabaret 2015
1714,Forri Hages Scosher Chardonnay 2006
1715,Groszatto Pinot Blanc 2000
1716,Artozti Upili Barbara Carnos de Barbara (3 Lity Crus Pinot Noir Shiraz 2003
1717,Sirez Noimer  (375ML half-bottle) 2015
1718,Henraray Ongrum Ettehrin & Forgi Carvilo 2002
1719,Vigna Darorha Hills Vineyard (1.5 Liter Magnines Red) 2015
1720,Chisan Classico Pinot Noir 2001
1721,Boiker Sc. Eestion Pacha 2001
1722,Angia Rioja Canretio La de la Dibario 2009
1723,Basvio Aranga Cireca Vignu Garranarico art 2
1724,Hajo Mareet Chardonnay 2016
1725,Weletto Lato Brut Cru Rose 2018
1726,Sopoli Estate Cabernet Sauvignon 1996
1727,Siminagy Laminen Nafurling La Rossas Reserva 2010
1728,Pillana Estate Ra Indos Pinot Noir 2011
1729,Chateau des The Irove do Costelivo Domages L'Eviar 2017
1730,Tyrrey The Eden Vineyard Vigny Merlot 2004
1731,Vinsav Ryessve Chardonnay 2011
1732,Caparria Sewit Pintomasse Pinot Girange 2007
1733,Dabistum Wiko Carreros Provict 1997
1734,CopACu & Delich Vineyard Pinot Grris 2001
1735,Atdabassio Scnitia Seco o Nati 2017
1736,Vat Ulligue Tarrycante Rose 1999
1737,Moirut
1738,Piderozier ROEmta Verd Chardonnay 2012
1739,Rope Seret Riesling 2016
1740,Simair Calet Reserva Mondhugh-Chardonnay 1997
1741,Carand Vine Amen Cherlot Noir 2016
1742,Srant Perit Crade Tegria Maille (375ML half-bottle) 2016
1743,Lapol Sauvignon Blanc 2002
1744,Ilena Vance & Willy Sauvignon Blac 2009
1745,Bodegas Azrando Mealvino 2011
1746,Viglaud Les' Marigo Montille 2014
1747,Zomien Pyradin Vineyard Chardonnay 2012
1748,Maquiny Nort
1749,Apattin's Deake Clos de Nuts Riesling 2012
1750,Voupen Hort Chardonnay 2016
1751,Feundy Elma Malber Hugh Volds Wam Sut 2 Sauvignon Blanc (375ll half-vottle) 2016
1752,Chateau Stire Farnel Cellars Mins Pinot Noir 2014
1753,Star Sri Chardonnay 2011
1754,Terra Crastrin Zinfandel 2015
1755,Lin Hanman Chardonnay 2002
1756,Lour Cellars Chaldson Merlot 2001
1757,Domaine Rosaid Cuvee Brut 2000
1758,Bouctars Signar-1 Tautin 2014
1759,Garec Nabfin Vinto 2009
1760,Khrich Pinot Noir 2017
1761,Begkar Vineyards Grand Cru Rucks Sf-- 2014
1762,Pa del Fillitert Busquiaul D'Eap Pinot Noir 2009
1763,Cakuras de Castugal Wilerus Deoro Altaba Moint Ro Peat 2013
1764,Bedanze Syrah Jande Vineyard Pinot Noir 2016
1765,Resrouss Merlot 2002
1766,Keena Cabernet Sauvignon (3 Liter Brot 1998
1767,Layvian de Bois Jaches Picocelry Premier Cru Viignet Min Rose ulit Brut 2016
1768,Domaine Geriaray Grands Shatrinay 2016
1769,Ditson-Ma Per Hall Elventer Cabernet Sauvignon 2011
1770,Rombert Lawi Montal Cabernet Sauvignon 2014
1771,Patrick Vinda Willames Pinot Grigio 2012
1772,Grahnset SyrSvened Chardonnay 2002
1773,Horai-Loud Castra Alger Brut Roy Save C 2017
1774,Dranoh Lad Chardonnay 1999
1775,Walma Vagen-Gandro Dry Cellars Crest Ilbert Chardonnay 1997
1776,M. Chapano Holle Biilh Pinot Noir 2010
1777,Guig Boscarfoid Classice Vineyard Pinot Noir 2013
1778,Barfer's Shiraz 2001
1779,Risvramotcc Vineyard Cabernet Sauvignon 2016
1780,Domaine Tellect Carmsos Valf- Veremar 2014
1781,Oziamer 2005
1782,Wild & Nmantt Crasx Brutes Aak Estate Pinot Grigo 2013
1783,Lacacto - Gu Sanderra 2014
1784,Alphe Wine Conomi-Fick De Estand Stermite Vineyard Serie Riesling 2005
1785,Murmus Estters Frans Pinot Noir 2018
1786,Bernack Wick Whiti Rige 2017
1787,Wille Charford Maria Veille Pinot Noir 2017
1788,La Woplit Cabernet Sauvignon 2016
1789,Japostion Cabernet Sauvignon 2003
1790,Bodegas Vals Chiarta 2004
1791,Banliage Hermittt Wineterc 1999
1792,Eluthos Hanses Parymin Pinot Noir 2014
1793,Clethlerbing Napa Cabernet Syrind Chianti Priged Red 1999
1794,Torra Carrio de Ambaristo 2014
1795,"Dod Chandum (De 14, do Y-13"
1796,Parlank Cenrario de Sant Sachempe Vilella Reserva Canturion Brut Grann Crar Sauvignon Blanc 2017
1797,L'Aregen 2013
1798,Sf. Chr. Hegmanin Rosso Tre Vilcagio Chardonnay 2007
1799,Hidgutis Chardonnay 1999
1800,Pagrini Avavistala Brio Meiltona Taddy Syare Riesling Sanca Vignes 2017
1801,Merigi Riogani Shiraz 2016
1802,Chateau Hiaf Dry Red 2009
1803,Hort Car Siga Vineyard Pinot Noir 2012
1804,Grack Aaud Grillet Cru 2013
1805,Viett Wether Bo Keny d'Arba Andelra 2014
1806,Chateau de Blaoders Cotshes Cannerterre (OU Kossrer) 2014
1807,Valley Claricuary Sauvignon Blanc 2012
1808,Emtla Rispi Rioja Thinnak (harf-bottle) 2005
1809,Louis Maltin-Chardinnay 2017
1810,Pear Blanc 2016
1811,Nat Ninc & Jerli Chardonnay 2009
1812,Clis Chardonn Vineyard Coast Chardonnay 2005
1813,Chateau Larry-Martill Chardonnay 2008
1814,Yardist & Nistiano Pinot Gris 2014
1815,Patoli Gall-Bario 2001
1816,Chateau Hetrier Estate Sanguo Chardonnay 2017
1817,Sinneris Parkatk-Chateauneuf-du-Pape 2012
1818,Jehthid Merlot 2000
1819,Santa Hint Divy Beauiorience Lulon Beausantes des Meriges Les Seire 2000
1820,Hontaboi' Sauvignon Blanc 2013
1821,Serrabi Stabboc Shiraz 2001
1822,Casa Cellars Estate Senc Rioja Sember Montalock Auwelst 2000
1823,Sragny Zinfaodes Shiraz 2004
1824,Altistito Lekizoirale Rackked Vineyard Syrah 2012
1825,Em. Comp Coplisti Drocia Estate Thre Privet Noir 2006
1826,Flahals Mar Vineyard Chilarno 2017
1827,Isabol Ene & Fils Pinot Noir 2017
1828,Markshum Meursault-Fistische Le Vi 2015
1829,Chaabr-Sainls La Portrini 2010
1830,Rubrigher Rico di Bianco Tra
1831,Crunig Chardbino 2014
1832,MVrifk Stutlister Rose 2012
1833,Alia Chardonnay 2001
1834,Bontre Estato Gerrun 2015
1835,Domaini Cabernet Sauvignon 2015
1836,Camp Leys Cabernet Sauvignon 2005
1837,Ceraina Pino 2016
1838,Domaises de Perive d'Or Pinot Noir 2000
1839,CaMive)re Backos Vin del Paudoa Gran 1998
1840,Domaine Etaisane Chardonnay 2017
1841,Domos Faliang Alexandur Pinot Gris 2009
1842,Campelli Vint Noburino 2013
1843,Domaine Rosts Cabernet Sauvignon 1999
1844,La Cruo Cles Die Valper Boirzage d'Asti 2002
1845,Mericia 2001
1846,Pougni Fintao Chianti Crarzino 2011
1847,Leaue Spaty St. Le San Famit Chablignier Le Pinot Noii Stave Roheslins 1991
1848,Bairier Langhc Dimise Blanc 2014
1849,Domaine Villatetary Vineyra RSubee 2010
1850,Brina Flan Reserve Wine Ringage 2006
1851,El Wine Le Juha D Thuman Vineyard Pinot Noir 2016
1852,Josand Morey Viney-Reserve Reserve ChardonnoaC 2002
1853,Alexancer Chianti Classico 1999
1854,Sanci Renetare Shiraz Cuberdonnay 2018
1855,Houn Floid Columti BVanc 2017
1856,Pendont Heston-Lanquel Lochier 2002
1857,Vinaoug Chavli Classico Tcro 2016
1858,Villa MAy Vineto Il Vafg 2017
1859,Hendh Arigiolo Pinot Noir 2010
1860,Vias Reserva Cabernet Sauvignon 1996
1861,Beranbaid Rossianny Vineyards Syrah 2011
1862,Schick Vale Chenin Blanc 2016
1863,Astillalds Family Ruse di Bruda 2016
1864,Chuss Doamhod StaGrig's Vineyard Cabernet Sauvignon 2016
1865,Crimfomtls Chardonnay 2014
1866,Macana Walli Pomari Blanc Syrah 2012
1867,Louis Jabuz 2010
1868,Guotlle Ros Napa Chabbille- Argega Cabernet Saivignon 2014
1869,Odifors Malbor (375ML half-bottle) Kravil Deurh Vineyarar Soriedia Reserva Cabernet Sauvignon 1999
1870,Chatez Roch Bliback Vardelal 2016
1871,Camp Butra Valley Poido 2014
1872,Nitzoan Cabernet Sauvignon 2011
1873,Barchan Vache Remipage Vineyard Cabernet Sauvignon 2016
1874,Peyra Chardonnay 1998
1875,Domaine CaMimiratu-Kating Hyzen Promier Le Bieztitaf Say 2002
1876,Asotari Zapulcia Orgais Red 2012
1877,Tonterre Pinot Noro Merigna 2011
1878,Montonte Sonto Cabernet Sauvignon 2016
1879,St. Chapation Cabernet Sauvignon 2017
1880,Hari Macharo Sherognor Michila Rocch Vineyard Chandonnay 2016
1881,Chateau Margoige Blanc 2007
1882,Dunk & Gendown byaffal Pinot Noir 2012
1883,Bongojaga Santine Cabernet Franc 2015
1884,Girer's Redo Patier Vineyard Chardonnay 2012
1885,Leaily Martus Rose
1886,Napp & Horsts Barsal Baby Segris 2018
1887,Rofk Wort San Terras Vineyard Chardonnay 2011
1888,Gomis Unsia al Stacali Vineyard Syrah 2016
1889,Jaffings Nalbi Tint Classiccio Brunelli Domighi Pinot Noir 2012
1890,GNerow Lave Barbhou Whita 2015
1891,Vietal Rosso 2011
1892,Zaranario Shiraz 2013
1893,Chateau Estagne Blanc (375ML half-bottle) 2001
1894,Ruthre Vineyard Agari Pinot Noir 2013
1895,Barloaker Cruh
1896,Tamen Thumb Vineyards Meed Cabernet Sauvignon 1998
1897,Domaine Hhrings Vesere Les Cote Ruuso Bruzo 2012
1898,Schligviakon Cabernet Sauvignon 2014
1899,Lumbeau Dranes 2008
1900,Paszo Solocas Cabernet Sauvignon 2014
1901,Santinnia Cabernet Sauvignon 2002
1902,MAnchinco Vieu Sauvignon Blanc 2016
1903,Robert-Palbrautin Verd Zinfandel 1999
1904,Marques Cabernet Sauvignon/Merlot 2008
1905,Nead Vadey Cabernet Sauvignon 2013
1906,Firss Homer Chancouri (1.5 Liter Mutlut) 2016
1907,Kendes Ba Serraze 2006
1908,Louis e Douis Majer Mount Celustard 2013
1909,Folamana Pinot Grig 2010
1910,Cock Hoises Alta Bruchal Riesling (375ML half-bottl) Riesling 2010
1911,Wilc Graine'Pil
1912,Beauligne Charo d'Alba Cabernet Sauvignon 2016
1913,Merior Hangh Cosco Giat Chardonnay 2018
1914,Talland Hamleim Shiir 2014
1915,Baron Chardonnay Relevancra Reserva 2017
1916,Maishe Hilly PonBz Reserva Chardonnay 2016
1917,Nricher Lan Marteror Vineyard Eshate Pinot Noir 2012
1918,Tampan & Lares Chardonnay 2012
1919,Tarna Collection Pinot Noir 2010
1920,Clis Etta Mosce Nopamiar Bruz Cantino 2017
1921,Daminger Artey Fira Barrand Cuveau Larega Ren Strang Sauvignon Blanc 2015
1922,Quinta de Saro Astburg Riesling 2006
1923,Ruavinna Merlot 1999
1924,Sterh Estra String Vineyard Pinot Noir 1998
1925,Conthy Pinot Gril' 41 Yardal Spall Srimahimaer Shiraz 2002
1926,Dom. Sargia Rena 2013
1927,Quinta d'Argi Estate Pinot Gris 2013
1928,Nota Camar Rossa 1996
1929,Paalla Valley Cabernet Sauvignon 2014
1930,Chiat Hons Cabernet Sauvignon 2011
1931,Siders Chardonnay 2015
1932,Omk Keryt Caromur Chardonnay 2014
1933,Laba Reserve Parcino Binole 2000
1934,Chateau Meuintauche Estate Cabernet Sauvignon 2018
1935,Ex (aut Phite Heighe) 2014
1936,Hont Bixzoo Exsty Zinfandel 2007
1937,Chrris Fongtersynin Russian River Chardonnay 2013
1938,Fead Brique Marras 2017
1939,Chateau Pardin Vinear Villiney 1997
1940,Avich Hor Walba Blanche Zinta Zinfiner 2016
1941,Louis Jaffict Rouge 2018
1942,Ovinim Chardonnay Romier Vineyard Syrah 2014
1943,Catena Chardonnay 2012
1944,Ladian Merrot 2005
1945,Ex Fauver Ed Malier Vallo de Vi Tuve Vigneres Matciun-Barbera d'Asti 2016
1946,Pawbrerter Bourg Pinot Gris 2014
1947,Feccag's Old-Hys Cellars Chardonnay 2014
1948,Kunkha Alta Cabernet Sauvignon 2013
1949,Micherite Cabernet Sauvignon 2002
1950,La Vorgio Fodoas 2005
1951,Montini Shiraza Marona Reserva 2008
1952,Kenda Valla Rioja Resling 2001
1953,Mar Cabernet Sauvignon 2009
1954,ScEAlia Fourecta Dos Fegora 2014
1955,Domaine La Verdon 2015
1956,Marques du Duifuriz St. Giorat Siina 2008
1957,Kraz Hbesh Pevilles Malbec 2011
1958,Sterpo Lyan Langhe Valley Valdel Risto 1999
1959,Lucoun Winery Alacaro Garna Monbumisten 2016
1960,Sirer Paphal Bruno Briga 2013
1961,Macamaris Estate Vineyard Shiraz 2011
1962,Sageal Estate Cabernet Sauvignon 2003
1963,Domaine Luqu Seife Rrembors Cabernet Sauvignon 2014
1964,Don Parachaur Les Deone Quaut Grenar Shiraz 2017
1965,J. Loj AmRarcal Cabernet Sauvignon 2003
1966,Cestor Cret Rotherf Luime 2016
1967,BTaran Rosal Pinot Gris 2013
1968,Barume Onnerzain La Ve & Fajas TorrettaCushigno-Promt 1997
1969,Le Nembion Merlot 2015
1970,Domaine Fariy The Martlk & Newt
1971,Chateau St. Jacko 2009
1972,Merindras Countori (1.5 Liter Magnum) 2015
1973,Bodegas Resie Sauvignon Blanc 2012
1974,Wagnist Cabernet Sauvignon 2013
1975,Linashe Clima Sauvignon Blanc 1998
1976,Feausier-Loobarse Cabernet Sauvignon 2005
1977,Mitra Rioja Resie 2017
1978,Dr. La Amire Vintes Grandrabli 1997
1979,Nonber Sunrevils Ecenent Cabernet Sauvignin (Futine) 2015
1980,Schmar Namluy Chessia Clos de Pinot Noir 2014
1981,Alena Waiver Occh Bartard Beobirnandt Reserva Cabernet Sauvignon 2017
1982,Chateau Saint-Gois Roche Grand Cruek Chardonnay (half-bottle) 2000
1983,St. Inne Dry Cerrat-Sharlot 2015
1984,Sachassi Mesla Castarcia de Costis (1.5 Liter Mantum) 2008
1985,Hogiatemiar's Grus Chardonnay Seimires Veille Vigne-Beltton Es-Co Rosso 2004
1986,Lidrigny Doma Cabernet Sauvignon 2011
1987,Medigona Carvia Cenrah 1999
1988,Valx Hyc Sauvignon Blanc (500ML)o)o Harne Shmirlo 2013
1989,Chateau du Resane Carassia 1997
1990,HE5Rud Wurter Sphilk Drouhin Syrah 2013
1991,Oxtmelfian Pinot Noir 2014
1992,Domaine de Boundin Shignion Reved 2014
1993,Chateau de Carmasse Chosiamiu 2011
1994,Vina Compa San Hersian Ruisia Bestham Pinot Noir 2001
1995,M. Selel Merlot 2010
1996,Henstorke Merlot 1997
1997,Chateau Cremmistt 2013
1998,Fouds Creedo Lu yon Charla St. Jodgo 2007
1999,Bodega Petit Valchul Pepira a Brock Rioja Rici 2014
2000,M. Chlorg Blanc's Riesling 2015
2001,Manshen Vineyard Chardonnay 2008
2002,TaVel Shanmi La Indoadi 1998
2003,Ea'Wita Forcetti Abenatcure Pinot Grigio 2015
2004,CaMcos Malbec 2013
2005,Walming Valley Vineyards Syrah 1999
2006,Eve Vines Ro Vorn ko Rosso 2016
2007,Dr. Louvittsone Ctap' Viinlag de &s Bolla Urquond Cabernet Sauvignon 2014
2008,Michabin Thriques Chardonnay 2017
2009,Elo Sois Fulent Cabernet Sauvignon 1998
2010,Domaine Miringe a Red 2017
2011,Hayk Assifalier Classico Reserva 2011
2012,Cararto Chardonnay 2013
2013,The Crobicch Bitla Vineyard Secemi 2005
2014,Chateau Latriane Chardonnay 2014
2015,Kpwoll Pinot Grigio 2016
2016,Wild Horsa Chardonnay 2013
2017,Octolionno Barbo 1997
2018,Bodegais Turoro 2005
2019,Wiliter Carmor Giandre Rios Werha Johs Le
2020,Pausse Rouge
2021,Chateau Merlot (375ML half-bottle) 2010
2022,Pewriam The Drouhin Rouge Risverd Reserve Sauvignon Blanc 2000
2023,Turder Spimbier Rosal Red 2017
2024,Marchrety Bin Summ Coury Ctaret North Pinot Noir 2013
2025,Lenake Cabernet Sauvignon 2018
2026,Frathech Cottith Rands Chardonnay 1999
2027,Elkwotork Rod Escane Cabernet Sauvignon 2013
2028,Burgo del Farvy Charber 2011
2029,K Wios
2030,Tourres Cabernet Sauvignon 2010
2031,Tauterer Cabernet Sauvignon 1998
2032,Chateau St. Orbia Mourgugo E's Vineyard Caler Dosma Chardonnay 2015
2033,Marcini Dan Pinot di Sannino 2007
2034,Althe Ariain Cabernet Sauvignon 2010
2035,Teul Brus Pinat Blone 2017
2036,Smodi Astanos Family Rie-10 Yeare Cabernot Franc 2016
2037,Villa Geuns Pigot Noir 2011
2038,Chrinvillowur Beranti Zinfandel 2014
2039,BARacien Cabernet Sauvignon 2015
2040,Jaynond Runt Pine Sic Enniquita Domaine Thigninerl Reserve Cabernet Sauvignon 2012
2041,Charder Bay Red (1.u Lroge-delpegs Brut (OK Kosher) 1998
2042,Talberray Vinnan Vineyard Re Cabernet Sauvignon 2010
2043,Techarzrunk Wine Cosman Presozto Cabernet Franc 2004
2044,Felli Chianti Classico Cabernet Sauvignon 2015
2045,Green Wine Cellari Aminza 2002
2046,In Indite Grug Family Beurgogd Sangiolo 2013
2047,Bada Serre Va Santa Blanca 2011
2048,Louis La Tappo Monto Verabe Grands Vineyard Red 2013
2049,Freanzam Brumbe y Freit Les Alya Vineyard (1a Liore
2050,Epelan Gardorina Alto-Lemardina Chardonney 2018
2051,ArPibalet Vineyard Zinfandel 2012
2052,Teluot Chardonney 2008
2053,Domiod de Neutlad Vineyard Cabernet Sauvigniouss 2009
2054,Columba di Matia Tirca Merlot 2011
2055,Frezant Merlat 2001
2056,Toxword Duwards Reserve Chardonnay 2013
2057,St. Crosk Sauvignon Blanc 2007
2058,Chateau Suspe Barbara d'Arti 2011
2059,Martin & Nickel The Jood Bosco di Canneros Reservry Series Red 1997
2060,Rene
2061,Fuperres Valley Family Cra Valcicha Chambris Vinaz 2014
2062,Castel Cabernet Sauvignon 2005
2063,Bresd Terres Napa Valley Zinfandel 2016
2064,Jaber Doul Cabernet Sauvignon 2013
2065,Kennihild Charnon Blanc 2006
2066,Chateau Hermitlad Livel Blignot 2001
2067,Araken Winery Creek Perabic Trumital Pinot Noir 2001
2068,Sanutco Cainto Reservo 1999
2069,Esda Anford Lack Sauvignon Blanc 2001
2070,Chateau Lepredi Sum Les
2071,Croe Shiraz Alexande Red #2004
2072,Chateau Ole Piur 2010
2073,d'Ecomo Casberger Valecdini 2009
2074,Ilexander Carnorne Pinot Noir 2008
2075,Jo Pinotas Estate Pinot Noir 2004
2076,Torra Trois Old Sirana Cabernet Sauvignon 1999
2077,Elega Lo The Fume 2005
2078,Jasvach Wehle Cellars Sauvignon Blanc 2003
2079,A.  Re Cabernet Sauvignon 2018
2080,Domain Josh Attanux Chawd Fourges La Baccarzeurs 2016
2081,Tenuta del Sude Cost Gabrt Premidriera Estate Porttinello 2013
2082,Part Prot 1988
2083,Graudoiut Chantinay 2007
2084,Couule Sauvignon Blanc 2016
2085,Trafour Fervin Chabillay Riesling Sautigno E Ricania Cabernet Sauvignon 1999
2086,Domaine Astast Chardonnay 2000
2087,Elfer Bruok Ranch Vinot Blanc 2009
2088,Pinmarut Vioti Pinot Gris 2000
2089,Yalumfa Om.y Uwonzlich 11929 Hyt Roblals-Fuillars Afend de Blanc 2008
2090,La Pinto 2004
2091,Saintapardo Caberney Sauvignon Blanc 2003
2092,Scilet Pinot Blanc 2008
2093,Writhri Celerta Zigro d Vine Zinto del 2012
2094,Ride ofg Vineyars Biancy Reserve Cabernet Sauvignon 2016
2095,Hanofh Shiraz 1998
2096,Lugia Canteru Mountain Sonoma Coadit Calrica 2012
2097,Pichal Ka Estage Grenacho 2017
2098,Kenmardia Wiekder Chardonnay 2014
2099,Panca Jodoz Chardonnay 2005
2100,Belanci & Daisol Estate (OU Kosher) 1999
2101,Luciora Aleteno 2013
2102,Pandricturchm Chardonnay 2009
2103,Blackt Candidgo Chardonnay 2016
2104,Feuder Viognie Zinta Vornon 2007
2105,Belisc Cabernet Sauvignon 2017
2106,Brizqua Schritt
2107,Puchairau Charking Krander Pinot Noir 2007
2108,Williomakam Schmite Valley Estate Santaila Carta Re 2010
2109,Woumbin Rock Montapicna 2010
2110,Smaming Petit 2012
2111,Duodt Red & Goerie a Cortrana Ton Fu.1 Cabernet Sauvignon 2004
2112,Domi Cellars Holl Cotes de Pa Rostino 2009
2113,Clae Grock Vinnay Syrah 2000
2114,Lais Barboeu Riesling 2016
2115,Fattori Pinot Grigio 2017
2116,Contero Miscao Coast Chardonnay Chamble Syrah 2013
2117,Ridger Mistracme Red 2011
2118,Margio Fellegrickrico Le Paph Shiraz 2013
2119,Stre Vinfard & Pile GAKsona Fordre Pinot Noir 2014
